SK_ID_CURR,TARGET
100001,0.02667989
100005,0.1108861
100013,0.036510468
100028,0.05301612
100038,0.11251803
100042,0.07909143
100057,0.0051483936
100065,0.014942396
100066,0.007462674
100067,0.075695224
100074,0.038845405
100090,0.026121523
100091,0.09106602
100092,0.07873264
100106,0.052664515
100107,0.12192821
100109,0.02692149
100117,0.017524837
100128,0.050794356
100141,0.012952878
100150,0.034837347
100168,0.011434601
100169,0.035891198
100170,0.21721412
100171,0.05065861
100172,0.073881865
100184,0.1963699
100187,0.09203613
100212,0.022309596
100222,0.030096447
100223,0.040212326
100232,0.008349088
100241,0.20357299
100245,0.014277081
100253,0.013085864
100256,0.04602269
100271,0.010204902
100278,0.28090903
100280,0.013260661
100306,0.16921376
100311,0.059491515
100312,0.037322048
100330,0.053119067
100331,0.019207692
100352,0.14498223
100358,0.090205945
100367,0.03410669
100382,0.077449575
100384,0.1053639
100385,0.04308146
100386,0.022858806
100399,0.0131178815
100404,0.024839845
100416,0.017867874
100422,0.036014754
100426,0.016411081
100438,0.025076553
100444,0.112953715
100445,0.13251449
100446,0.074575834
100447,0.015645603
100450,0.07142074
100466,0.017128348
100483,0.015314177
100484,0.037625786
100494,0.049922947
100510,0.17307967
100512,0.0063055595
100517,0.020085763
100548,0.015316412
100551,0.059281625
100552,0.08477254
100553,0.014890582
100561,0.11291471
100568,0.3607549
100569,0.019804848
100591,0.08447532
100592,0.024874343
100602,0.027817769
100607,0.0710348
100613,0.032695897
100617,0.18219359
100618,0.0864026
100622,0.04592736
100625,0.0964787
100677,0.10411904
100699,0.03381487
100702,0.22188248
100711,0.031693824
100729,0.066454805
100740,0.2096877
100744,0.1523938
100745,0.029067984
100747,0.06723274
100751,0.4216132
100752,0.036192734
100753,0.15610893
100754,0.3510322
100760,0.036339544
100762,0.10625174
100763,0.02545931
100765,0.024856525
100770,0.095984906
100772,0.018659689
100777,0.031016935
100791,0.020767715
100792,0.011548745
100797,0.023388822
100823,0.03047235
100826,0.03150582
100830,0.013437709
100836,0.16852564
100872,0.04093765
100910,0.036553416
100913,0.08521958
100918,0.020248715
100931,0.008563694
100952,0.024858437
100953,0.02297517
100965,0.08589332
100970,0.021954942
100982,0.13427982
100983,0.3124258
100984,0.053939074
100987,0.066019945
100997,0.038842086
100998,0.21501426
101002,0.023197021
101005,0.1578703
101008,0.19991836
101020,0.03315026
101021,0.055491455
101024,0.036815252
101025,0.28641322
101026,0.039304882
101031,0.012574063
101041,0.009719425
101051,0.0063184677
101055,0.06157326
101056,0.21111111
101057,0.031066466
101064,0.023546167
101079,0.074147165
101087,0.009249446
101090,0.013156792
101092,0.060546976
101097,0.16898511
101099,0.014346393
101107,0.22196402
101118,0.022565978
101125,0.085752204
101126,0.012972352
101128,0.008944635
101136,0.046607837
101140,0.20598803
101149,0.071683414
101160,0.12452089
101169,0.17696908
101181,0.041249692
101186,0.009657758
101190,0.032758415
101193,0.1093566
101194,0.061119113
101198,0.13274994
101200,0.014163209
101204,0.018103654
101211,0.07589297
101213,0.04808041
101223,0.02758736
101225,0.120547235
101237,0.06896861
101243,0.118958406
101244,0.091346025
101258,0.0311377
101259,0.11812197
101268,0.070535414
101269,0.03924507
101271,0.031682495
101279,0.036886368
101281,0.2593797
101287,0.08528332
101292,0.03343905
101294,0.03203808
101296,0.06465905
101297,0.009785502
101299,0.042398028
101301,0.05215055
101305,0.08090614
101308,0.27579823
101318,0.012454684
101327,0.21096072
101329,0.009747305
101332,0.047420006
101337,0.03340096
101343,0.050596807
101345,0.007223809
101346,0.0073939622
101353,0.017321656
101354,0.05574754
101355,0.1673946
101356,0.024038132
101362,0.058893684
101363,0.42332965
101365,0.013131827
101366,0.05267946
101367,0.23241916
101368,0.015629902
101374,0.086930245
101380,0.010755224
101383,0.06127673
101398,0.014785054
101399,0.21857469
101401,0.15617986
101412,0.05334586
101426,0.022903431
101427,0.41349477
101428,0.06156997
101429,0.078778826
101434,0.04587842
101440,0.15638965
101448,0.11236379
101449,0.031898662
101465,0.031152656
101467,0.015583391
101472,0.046462074
101478,0.17456965
101497,0.059247836
101504,0.08841081
101547,0.008306378
101548,0.051880147
101555,0.07835032
101570,0.009678124
101572,0.03733227
101578,0.046790227
101580,0.08066931
101588,0.14169697
101602,0.021211222
101610,0.14262037
101614,0.025592258
101616,0.019043531
101643,0.12685488
101644,0.021642253
101649,0.042469814
101650,0.03859782
101665,0.016335592
101667,0.10100925
101669,0.114863135
101674,0.052988485
101675,0.0077265436
101678,0.10246097
101682,0.029280316
101686,0.020171756
101697,0.19120191
101700,0.24818476
101711,0.018281652
101714,0.026468275
101715,0.17907903
101728,0.03257104
101732,0.059880704
101757,0.09762119
101758,0.02574768
101759,0.10841294
101762,0.017089074
101764,0.0519472
101780,0.22909318
101784,0.008922821
101789,0.013297397
101816,0.0699268
101819,0.037029933
101827,0.008924904
101863,0.024451425
101867,0.027020907
101870,0.011008332
101873,0.17282857
101878,0.052002836
101879,0.09370604
101880,0.016376566
101887,0.043062896
